Depth_m,Temp_C,Salinity,Cl_mmol_per_kg
11,20.723,35.941,581.6
38,18.264,35.976,582.2
68,15.357,35.915,581.1
107,14.258,35.910,581.1
147,13.750,35.852,580.1
206,13.211,35.777,578.8
305,12.496,35.680,577.2
404,11.803,35.585,575.6
600,10.550,35.443,573.2
798,9.720,35.502,574.2
996,8.632,35.538,574.8
1195,7.566,35.488,574.0
1394,6.511,35.381,572.2
1593,5.282,35.198,569.1
1940,4.088,35.038,566.4
2291,3.516,34.989,565.6
2640,3.087,34.960,565.1
2989,2.826,34.945,564.9
3335,2.663,34.929,564.6
3679,2.591,34.917,564.4
4028,2.552,34.909,564.3
4373,2.520,34.902,564.2
4721,2.541,34.901,564.1
4847,2.547,34.902,564.2
