lat,long,time,Year,Month,Day,Hour,Minute,Second,CTD,Depth,Press,Salinity,Temperature,Oxygen,ChlF,Turbidity,FDOM,Density,OxygenSaturationConc,OxygenSaturation
56.00277,12.57948,18-Apr-2026 09:29:57,2026,4,18,9,29,57.97,AML,0.5,0.52786,9.03288366666666,6.60566666666667,333.433729061648,0.494236292708699,0.649491416896855,9.59225007308975,1007.05330328349,358.428373131748,93.0266000284211
56.00277,12.57948,18-Apr-2026 09:29:57,2026,4,18,9,29,57.97,AML,0.6,0.6398,9.03296166666667,6.60533333333333,333.416266361072,0.510838599160291,0.625558100212813,9.45193542289332,1007.05338690694,358.431097900054,93.0210208641114
56.00277,12.57948,18-Apr-2026 09:29:57,2026,4,18,9,29,57.97,AML,0.7,0.74251,9.03225,6.60133333333333,333.54760771779,0.50530449700976,0.607608112699782,9.46596688791296,1007.05309482409,358.468126413934,93.0480517346283
56.00277,12.57948,18-Apr-2026 09:29:57,2026,4,18,9,29,57.97,AML,0.8,0.84289,9.03320166666667,6.59033333333333,333.280680409055,0.510838599160291,0.571708137673721,9.24146344759867,1007.05457743638,358.56234488889,92.9491579804151
56.00277,12.57948,18-Apr-2026 09:29:57,2026,4,18,9,29,57.97,AML,0.9,0.9561,9.03924733333333,6.58166666666667,332.906097398529,0.544043212063477,0.601624783528772,9.53612421301118,1007.05990852007,358.622688496317,92.8290674509145
56.00277,12.57948,18-Apr-2026 09:29:57,2026,4,18,9,29,57.97,AML,1,1.06429,9.05420766666666,6.57133333333333,332.859914948241,0.555111416364539,0.571708137673721,9.62031300312904,1007.07235938678,358.674282194791,92.802838528431
56.00277,12.57948,18-Apr-2026 09:29:57,2026,4,18,9,29,57.97,AML,1.1,1.17877,9.07287633333333,6.54333333333333,332.799312721759,0.582781927117193,0.601624783528772,9.66240739818797,1007.08889641199,358.871714034432,92.7348965401684
56.00277,12.57948,18-Apr-2026 09:29:57,2026,4,18,9,29,57.97,AML,1.2,1.27916,9.089716,6.50333333333333,332.999642023643,0.62152064217091,0.595641454357762,9.6062815381094,1007.10477581325,359.18002964922,92.7110681372947
56.00277,12.57948,18-Apr-2026 09:29:57,2026,4,18,9,29,57.97,AML,1.3,1.38126,9.101085,6.45333333333333,334.00643527522,0.566179620665601,0.589658125186752,9.66240739818797,1007.1169842232,359.591670795497,92.8849198693405
56.00277,12.57948,18-Apr-2026 09:29:57,2026,4,18,9,29,57.97,AML,1.4,1.49853,9.11726,6.39,334.207240291273,0.544043212063477,0.601624783528772,9.81675351340405,1007.13379924669,360.10963586779,92.8070806786113
56.00277,12.57948,18-Apr-2026 09:29:57,2026,4,18,9,29,57.97,AML,1.6,1.62112,9.13815166666667,6.32566666666667,334.41531713897,0.632588846471972,0.583674796015741,9.53612421301118,1007.15433982606,360.625372416458,92.7320545690226
