Wavelength nm.	mq_01 - ...	chemocean_06 - ...	chemocean_07 - ...	chemocean_08 - ...	chemocean_09 - ...	chemocean_10 - ...	chemocean_NO3-0 - ...	chemocean_NO3-1 - ...	chemocean_NO3-2 - ...	chemocean_NO3-3 - ...	chemocean_NO3-4 - ...	chemocean_BR-1 - ...	chemocean_Br-2 - ...	chemocean_Br-3 - ...	chemocean_Br-0 - ...
190.00	-0.006	5.000	5.000	5.000	5.000	5.000	0.007	0.052	0.105	0.150	0.247	5.000	5.000	5.000	0.026
191.00	-0.005	5.000	5.000	5.000	5.000	5.000	0.006	0.054	0.106	0.151	0.251	5.000	5.000	5.000	0.026
192.00	-0.004	5.000	5.000	5.000	5.000	5.000	0.006	0.057	0.108	0.156	0.259	5.000	5.000	5.000	0.025
193.00	-0.002	5.000	5.000	5.000	5.000	5.000	0.005	0.058	0.110	0.162	0.265	5.000	5.000	5.000	0.025
194.00	-0.002	5.000	5.000	5.000	5.000	5.000	0.004	0.058	0.112	0.165	0.271	4.494	5.000	5.000	0.025
195.00	-0.003	5.000	5.000	5.000	4.446	4.556	0.005	0.060	0.115	0.169	0.278	4.494	5.000	5.000	0.024
196.00	-0.003	5.000	5.000	5.000	3.847	4.106	0.004	0.061	0.116	0.172	0.282	4.089	5.000	5.000	0.023
197.00	-0.001	5.000	5.000	5.000	3.299	3.536	0.003	0.060	0.117	0.174	0.284	3.411	5.000	5.000	0.024
198.00	-0.002	5.000	5.000	5.000	2.769	2.939	0.003	0.061	0.118	0.175	0.287	2.903	5.000	5.000	0.022
199.00	-0.003	5.000	5.000	5.000	2.348	2.501	0.002	0.060	0.118	0.176	0.288	2.469	4.194	5.000	0.020
200.00	-0.001	5.000	5.000	5.000	1.999	2.127	0.001	0.059	0.118	0.176	0.288	2.102	3.564	5.000	0.021
201.00	-0.001	5.000	5.000	4.446	1.696	1.809	0.002	0.060	0.118	0.176	0.288	1.783	3.003	5.000	0.020
202.00	-0.002	4.446	5.000	3.834	1.441	1.544	0.002	0.059	0.116	0.175	0.286	1.509	2.569	4.793	0.018
203.00	-0.001	3.847	3.939	3.282	1.228	1.317	0.001	0.058	0.115	0.173	0.284	1.274	2.186	4.296	0.018
204.00	-0.001	3.320	3.411	2.784	1.047	1.125	0.001	0.058	0.114	0.171	0.280	1.075	1.861	3.540	0.018
205.00	-0.002	2.821	2.895	2.378	0.893	0.959	0.001	0.056	0.112	0.168	0.275	0.911	1.580	3.042	0.016
206.00	-0.001	2.399	2.454	2.021	0.760	0.816	0.000	0.054	0.108	0.164	0.268	0.770	1.329	2.580	0.016
207.00	-0.001	2.030	2.083	1.716	0.647	0.694	0.001	0.053	0.106	0.160	0.262	0.648	1.115	2.172	0.016
208.00	-0.001	1.717	1.767	1.455	0.551	0.592	0.001	0.052	0.103	0.155	0.254	0.546	0.935	1.832	0.015
209.00	-0.001	1.453	1.502	1.234	0.472	0.509	-0.000	0.050	0.099	0.149	0.245	0.459	0.783	1.545	0.015
210.00	-0.000	1.219	1.261	1.032	0.400	0.435	0.001	0.048	0.095	0.144	0.235	0.382	0.649	1.283	0.015
211.00	-0.001	1.013	1.047	0.855	0.340	0.370	0.001	0.046	0.091	0.137	0.224	0.318	0.533	1.052	0.014
212.00	-0.001	0.837	0.867	0.713	0.292	0.317	-0.000	0.043	0.086	0.129	0.212	0.266	0.435	0.863	0.013
213.00	-0.000	0.688	0.713	0.591	0.251	0.272	0.001	0.041	0.081	0.122	0.200	0.220	0.351	0.700	0.014
214.00	-0.001	0.564	0.587	0.489	0.215	0.233	0.001	0.039	0.077	0.115	0.187	0.184	0.283	0.565	0.014
215.00	-0.001	0.459	0.482	0.403	0.187	0.204	-0.000	0.036	0.071	0.106	0.175	0.153	0.228	0.455	0.012
216.00	0.000	0.372	0.393	0.331	0.163	0.179	0.001	0.033	0.065	0.098	0.161	0.128	0.183	0.361	0.013
217.00	-0.000	0.299	0.320	0.273	0.144	0.157	0.001	0.031	0.061	0.091	0.148	0.109	0.145	0.285	0.013
218.00	-0.000	0.239	0.259	0.226	0.128	0.141	0.000	0.029	0.055	0.082	0.134	0.092	0.116	0.223	0.012
219.00	-0.000	0.193	0.211	0.189	0.116	0.128	0.001	0.025	0.049	0.074	0.121	0.079	0.092	0.174	0.012
220.00	-0.001	0.156	0.173	0.160	0.106	0.117	0.001	0.023	0.045	0.067	0.108	0.070	0.073	0.136	0.013
221.00	0.000	0.126	0.143	0.138	0.098	0.109	0.001	0.021	0.040	0.059	0.097	0.063	0.061	0.108	0.012
222.00	0.000	0.105	0.122	0.121	0.093	0.102	0.000	0.018	0.035	0.052	0.086	0.057	0.051	0.086	0.012
223.00	-0.001	0.088	0.104	0.107	0.087	0.096	0.001	0.017	0.031	0.047	0.075	0.053	0.042	0.069	0.012
224.00	0.000	0.073	0.090	0.098	0.083	0.093	0.001	0.016	0.028	0.041	0.067	0.050	0.037	0.058	0.012
225.00	0.000	0.063	0.080	0.090	0.080	0.089	0.001	0.013	0.023	0.035	0.058	0.046	0.033	0.049	0.011
226.00	-0.001	0.055	0.072	0.083	0.077	0.085	0.001	0.012	0.021	0.031	0.050	0.044	0.029	0.042	0.011
227.00	-0.000	0.048	0.065	0.079	0.074	0.083	0.001	0.011	0.019	0.027	0.044	0.043	0.027	0.038	0.011
228.00	0.000	0.044	0.061	0.076	0.073	0.081	0.001	0.009	0.015	0.023	0.037	0.041	0.025	0.034	0.010
229.00	-0.001	0.040	0.056	0.071	0.070	0.078	0.001	0.008	0.013	0.020	0.031	0.040	0.022	0.030	0.010
230.00	-0.000	0.036	0.052	0.069	0.068	0.076	0.001	0.007	0.012	0.017	0.027	0.039	0.021	0.029	0.011
231.00	0.000	0.033	0.050	0.068	0.068	0.075	0.001	0.006	0.010	0.014	0.022	0.038	0.021	0.027	0.010
232.00	-0.001	0.031	0.047	0.065	0.065	0.072	0.001	0.005	0.008	0.012	0.018	0.036	0.018	0.025	0.010
233.00	-0.000	0.028	0.044	0.063	0.063	0.071	0.001	0.005	0.007	0.010	0.016	0.036	0.018	0.024	0.010
234.00	0.001	0.027	0.044	0.062	0.063	0.070	0.001	0.005	0.006	0.008	0.014	0.036	0.018	0.023	0.010
235.00	-0.000	0.026	0.042	0.060	0.062	0.067	0.001	0.004	0.005	0.007	0.011	0.035	0.016	0.022	0.010
236.00	0.000	0.024	0.040	0.058	0.059	0.066	0.001	0.004	0.005	0.006	0.009	0.035	0.016	0.021	0.010
237.00	0.001	0.023	0.039	0.058	0.059	0.066	0.001	0.004	0.004	0.005	0.008	0.034	0.016	0.021	0.009
238.00	-0.000	0.023	0.039	0.056	0.058	0.064	0.001	0.003	0.003	0.005	0.006	0.033	0.015	0.020	0.010
239.00	-0.000	0.022	0.036	0.055	0.056	0.063	0.001	0.003	0.003	0.004	0.006	0.033	0.015	0.019	0.010
240.00	0.000	0.021	0.036	0.054	0.055	0.062	0.001	0.003	0.003	0.003	0.005	0.033	0.015	0.019	0.009
241.00	-0.000	0.020	0.036	0.053	0.055	0.060	0.001	0.002	0.002	0.003	0.004	0.032	0.014	0.018	0.009
242.00	-0.000	0.020	0.034	0.051	0.053	0.059	0.001	0.003	0.002	0.003	0.003	0.032	0.014	0.017	0.009
243.00	0.000	0.019	0.034	0.051	0.052	0.059	0.001	0.002	0.002	0.002	0.003	0.032	0.014	0.018	0.008
244.00	0.000	0.019	0.034	0.051	0.052	0.057	0.000	0.002	0.002	0.002	0.003	0.031	0.014	0.017	0.008
245.00	-0.000	0.019	0.032	0.049	0.051	0.056	0.001	0.002	0.001	0.002	0.003	0.032	0.013	0.016	0.009
246.00	0.001	0.018	0.032	0.049	0.050	0.056	0.001	0.003	0.002	0.002	0.003	0.032	0.014	0.016	0.008
247.00	0.000	0.018	0.032	0.049	0.050	0.055	0.001	0.002	0.002	0.002	0.002	0.031	0.013	0.016	0.008
248.00	-0.000	0.018	0.031	0.047	0.049	0.054	0.001	0.002	0.001	0.002	0.002	0.031	0.012	0.015	0.008
249.00	0.000	0.017	0.030	0.046	0.048	0.054	0.001	0.002	0.002	0.002	0.002	0.031	0.013	0.015	0.008
250.00	0.000	0.016	0.030	0.047	0.048	0.053	0.000	0.002	0.001	0.001	0.001	0.030	0.013	0.015	0.007
251.00	-0.000	0.017	0.030	0.046	0.047	0.052	0.001	0.002	0.001	0.002	0.001	0.030	0.012	0.014	0.008
252.00	0.000	0.016	0.029	0.045	0.046	0.052	0.001	0.002	0.001	0.002	0.002	0.031	0.012	0.014	0.008
253.00	0.000	0.016	0.029	0.045	0.046	0.051	0.000	0.002	0.002	0.001	0.001	0.030	0.013	0.014	0.007
254.00	-0.000	0.016	0.029	0.044	0.046	0.050	0.001	0.002	0.001	0.001	0.001	0.030	0.012	0.014	0.008
255.00	0.000	0.015	0.028	0.043	0.044	0.049	0.001	0.002	0.001	0.002	0.002	0.030	0.012	0.013	0.008
256.00	0.000	0.015	0.028	0.043	0.044	0.049	0.000	0.002	0.001	0.001	0.001	0.030	0.012	0.013	0.007
257.00	-0.000	0.015	0.028	0.043	0.044	0.048	0.000	0.002	0.001	0.001	0.001	0.030	0.012	0.013	0.007
258.00	0.000	0.015	0.027	0.042	0.043	0.047	0.001	0.002	0.001	0.002	0.002	0.030	0.012	0.012	0.008
259.00	0.000	0.014	0.027	0.041	0.042	0.047	0.000	0.001	0.001	0.001	0.001	0.029	0.012	0.012	0.007
260.00	-0.000	0.015	0.027	0.041	0.042	0.046	0.000	0.001	0.001	0.001	0.001	0.029	0.012	0.012	0.007
261.00	0.000	0.015	0.027	0.041	0.042	0.046	0.001	0.002	0.001	0.002	0.002	0.030	0.012	0.012	0.008
262.00	0.000	0.014	0.026	0.040	0.040	0.045	0.001	0.002	0.002	0.001	0.001	0.030	0.012	0.012	0.007
263.00	-0.001	0.014	0.026	0.040	0.040	0.044	0.000	0.001	0.001	0.001	0.001	0.029	0.012	0.011	0.007
264.00	0.000	0.014	0.026	0.039	0.040	0.043	0.001	0.002	0.001	0.002	0.002	0.030	0.012	0.011	0.007
265.00	0.001	0.014	0.025	0.038	0.038	0.043	0.001	0.002	0.002	0.001	0.002	0.030	0.013	0.011	0.007
266.00	-0.001	0.013	0.025	0.038	0.038	0.042	0.000	0.001	0.001	0.001	0.001	0.029	0.012	0.011	0.006
267.00	-0.000	0.014	0.024	0.037	0.038	0.041	0.001	0.002	0.001	0.001	0.001	0.030	0.012	0.011	0.007
268.00	0.001	0.013	0.024	0.037	0.036	0.041	0.001	0.002	0.002	0.001	0.002	0.030	0.013	0.011	0.007
269.00	-0.000	0.013	0.024	0.036	0.035	0.040	0.000	0.001	0.001	0.001	0.001	0.029	0.012	0.011	0.006
270.00	-0.000	0.013	0.023	0.035	0.035	0.039	0.001	0.002	0.001	0.001	0.001	0.030	0.012	0.010	0.007
271.00	0.000	0.013	0.023	0.034	0.034	0.038	0.001	0.002	0.001	0.002	0.002	0.030	0.012	0.010	0.007
272.00	-0.000	0.012	0.023	0.034	0.033	0.038	0.000	0.001	0.001	0.001	0.001	0.030	0.013	0.010	0.006
273.00	-0.000	0.012	0.023	0.033	0.033	0.036	0.000	0.001	0.001	0.001	0.001	0.030	0.012	0.010	0.006
274.00	0.000	0.012	0.022	0.033	0.032	0.036	0.001	0.002	0.001	0.002	0.002	0.030	0.012	0.010	0.007
275.00	0.000	0.012	0.022	0.032	0.031	0.035	0.000	0.001	0.001	0.001	0.001	0.030	0.013	0.010	0.007
276.00	-0.001	0.012	0.022	0.032	0.031	0.034	0.000	0.002	0.001	0.001	0.001	0.029	0.012	0.010	0.006
277.00	-0.000	0.012	0.021	0.031	0.030	0.033	0.001	0.002	0.001	0.002	0.001	0.030	0.012	0.009	0.007
278.00	0.000	0.011	0.021	0.030	0.029	0.033	0.001	0.002	0.002	0.001	0.001	0.029	0.013	0.010	0.007
