Depth_m,Temp_C,Salinity,Cl_mmol_per_kg
10,23.497,34.553,558.3
50,16.772,34.467,556.9
100,13.873,34.443,556.5
199,12.045,34.319,554.4
298,10.589,34.226,552.8
395,8.978,34.105,550.8
598,5.612,33.990,548.9
792,4.218,34.138,551.4
994,3.458,34.279,553.7
1233,2.942,34.420,556.1
1491,2.544,34.510,557.6
1730,2.254,34.567,558.5
1970,2.001,34.600,559.1
2223,1.810,34.625,559.5
2467,1.686,34.641,559.8
2712,1.602,34.653,560.0
2957,1.544,34.663,560.1
3447,1.488,34.674,560.3
3934,1.477,34.681,560.5
4421,1.494,34.685,560.5
4909,1.528,34.688,560.6
5391,1.576,34.690,560.6
5700,1.615,34.690,560.6
