Hs,TI,Tp,V,gammaJS,p,M_eq
6.0,0,10,0,1,2e-05,223069647.59378734
5.0,0,10,0,1,6e-05,188241599.09882703
4.5,0,9,0,1,9e-05,192521304.93823487
4.5,0,10,0,1,0.00012,167956978.21678245
4.5,0,11,0,1,2e-05,150067079.72787312
4.0,0,8,0,1,5e-05,188762588.82485884
4.0,0,9,0,1,0.0005,167799349.71389768
4.0,0,10,0,1,0.00017,149194740.0757341
4.0,0,11,0,1,5e-05,137976889.7396871
3.5,0,7,0,1,3e-05,174397916.7922846
3.5,0,8,0,1,0.001,157275810.20452416
3.5,0,9,0,1,0.00112,147304734.26093447
3.5,0,10,0,1,0.00028,131169282.53678252
3.0,0,6,0,1,2e-05,145637628.2853061
3.0,0,7,0,1,0.00159,147603777.18073726
3.0,0,8,0,1,0.00465,143146036.40901992
3.0,0,9,0,1,0.00142,126790072.44937146
2.5,0,6,0,1,0.00031,117216519.95280197
2.5,0,7,0,1,0.01341,125961158.86603153
2.5,0,8,0,1,0.00524,119053334.2781221
2.5,0,9,0,1,9e-05,108839912.70854852
2.0,0,5,0,1,2e-05,79327294.96763505
2.0,0,6,0,1,0.00868,98549536.68864316
2.0,0,7,0,1,0.01798,101949622.1961847
2.0,0,8,0,1,0.0004,95017095.52129339
2.0,0,9,0,1,2e-05,85583773.49464153
1.5,0,5,0,1,0.00098,58812773.52086298
1.5,0,6,0,1,0.01417,75858126.8345887
1.5,0,7,0,1,0.00254,75738510.33647166
1.0,0,4,0,1,0.00017,34496948.40914451
1.0,0,5,0,1,0.0035,39797519.5774586
1.0,0,6,0,1,0.00224,48106692.26146143
1.0,0,7,0,1,3e-05,50201745.1574531
0.5,0,3,0,1,2e-05,17773232.514705174
0.5,0,4,0,1,0.00112,17049902.160575103
0.5,0,5,0,1,0.001,19661800.928801496
0.5,0,6,0,1,8e-05,24442212.316762894
