V_10,I_norm,I_ext,Hs,Tp,gamma_fat,gamma_ext,p,hrs
2,29.2,99.3,1.07,6.03,1,3.3,0.05935,472.6
4,20.4,53.1,1.1,5.88,1,3.3,0.10177,891.5
6,17.5,37.1,1.18,5.76,1,3.3,0.13431,1176.6
8,16.0,30.0,1.31,5.67,1,3.3,0.14768,1293.7
10,15.2,25.4,1.48,5.74,1,3.3,0.14288,1251.6
12,14.6,22.3,1.7,5.88,1,3.3,0.12459,1091.4
14,14.2,20.1,1.91,6.07,1,3.3,0.09917,868.7
16,13.9,18.5,2.19,6.37,1,3.3,0.07259,635.9
18,13.6,17.2,2.47,6.71,1,3.3,0.0491,430.1
20,13.4,16.1,2.76,6.99,1,3.3,0.03079,269.7
22,13.3,15.3,3.09,7.4,1,3.3,0.01793,157.1
24,13.1,14.6,3.42,7.8,1,3.3,0.00972,85.1
26,12.0,14.0,3.76,8.14,1,3.3,0.00491,43.0
28,11.9,13.5,4.17,8.49,1,3.3,0.00231,20.2
30,11.8,13.1,4.46,8.86,1,3.3,0.00101,8.9
32,11.8,12.7,4.79,9.12,1,3.3,0.00042,3.6
